手术名称,手术等级
上颌骨全部切除伴重建术                                                                              ,4
全喉切除伴根治性淋巴结清扫术                                                                        ,4
颞骨部分切除术                                                                                      ,4
下颌骨全部切除术同时伴重建术                                                                        ,4
甲状旁腺自体移植术                                                                                  ,4
全部喉切除术                                                                                        ,4
颅底病损切除术                                                                                      ,4
内镜下颅底病损切除术                                                                                ,4
食管切开异物取出术                                                                                  ,4
内淋巴减压术                                                                                        ,4
内镜下人工听骨链重建术                                                                              ,4
前庭开窗术                                                                                          ,4
听骨切除术                                                                                          ,4
颈动脉栓塞术                                                                                        ,4
神经导航下颅内病灶切除术                                                                            ,4
镫骨部分切除术                                                                                      ,4
半规管瘘修补术                                                                                      ,4
甲状腺全部切除术                                                                                    ,4
根治性颈淋巴结清扫，单侧                                                                            ,4
舌骨上颈淋巴结清扫术                                                                                ,4
喉功能重建术                                                                                        ,4
镫骨粘连松解术                                                                                      ,4
喉部分切除术                                                                                        ,4
食管病损切除术                                                                                      ,4
迷路切除术                                                                                          ,4
单侧甲状腺切除伴甲状腺峡部切除术                                                                    ,4
内耳开窗术(初次)                                                                                    ,4
舌骨上淋巴结清扫术                                                                                  ,4
喉次全切除术                                                                                        ,4
经迷路内听道听神经瘤切除术                                                                          ,4
全喉扩大切除术                                                                                      ,4
腔镜下单侧甲状腺切除术                                                                              ,4
喉成形术                                                                                            ,4
部分食管切除术                                                                                      ,4
乳突改良根治术                                                                                      ,3
歪鼻鼻成形术                                                                                        ,3
内镜下蝶窦病损切除术                                                                                ,3
乳突扩大根治术                                                                                      ,3
开放式乳突改良根治术                                                                                ,3
鼓室成形术，III型                                                                                   ,3
内镜下筛窦切除术                                                                                    ,3
咽旁间隙病损切除术                                                                                  ,3
泪囊鼻腔吻合术[DCR]                                                                                 ,3
咽旁病损切除术                                                                                      ,3
鼻内窥镜下多个鼻窦开窗术                                                                            ,3
鼻窦病损切除术                                                                                      ,3
内镜下上颌窦病损切除术                                                                              ,3
内镜下鼻窦病损切除术                                                                                ,3
悬雍垂-软腭-咽成形术[UPPP]                                                                          ,3
后鼻孔成形术                                                                                        ,3
功能性颈淋巴结清扫术                                                                                ,3
腮腺部分切除术                                                                                      ,3
气管修补术                                                                                          ,3
鼓室成形术，II型                                                                                    ,3
根治性乳突切除术                                                                                    ,3
腮腺浅叶切除术                                                                                      ,3
内镜下筛窦病损切除术                                                                                ,3
筛窦病损切除术                                                                                      ,3
完壁式乳突改良根治术                                                                                ,3
双侧甲状腺部分切除术                                                                                ,3
内镜下全组鼻窦开窗术                                                                                ,3
下颌骨次全切除术                                                                                    ,3
鼻咽病损切除术                                                                                      ,3
腮腺切除术                                                                                          ,3
上颌窦病损切除术                                                                                    ,3
淋巴结扩大性区域性切除术                                                                            ,3
舌腭弓延长成形术                                                                                    ,3
声带成形术                                                                                          ,3
支撑喉镜下喉部分切除术                                                                              ,3
悬雍垂腭咽成形术                                                                                    ,2
内镜下外耳道成形术                                                                                  ,2
鼻内窥镜下鼻中隔成形术                                                                              ,2
甲状腺峡部部分切除术                                                                                ,2
内镜下鼻咽病损切除术                                                                                ,2
内镜下会厌病损切除术                                                                                ,2
腮腺病损切除术                                                                                      ,2
